# Unicode control characters
CHARACTER TABULATION; 0009
LINE FEED (LF); 000A
FORM FEED (FF); 000C
CARRIAGE RETURN (CR); 000D
INFORMATION SEPARATOR THREE; 001D
INFORMATION SEPARATOR ONE; 001F
# MUFI
# base characters (sorted by code point)
LATIN CAPITAL LETTER A WITH MACRON AND BREVE [MUFI] ; E010
LATIN CAPITAL LETTER Y WITH DOT ABOVE AND ACUTE [MUFI] ; E384
LATIN SMALL LETTER A WITH MACRON AND BREVE [MUFI] ; E410
LATIN SMALL LETTER A WITH DIAERESIS AND DOT BELOW [MUFI] ; E41D
LATIN SMALL LETTER A WITH RING ABOVE AND CIRCUMFLEX [MUFI] ; E41F
LATIN SMALL LETTER E WITH DOT BELOW AND ACUTE [MUFI] ; E498
LATIN SMALL LETTER O WITH DIAERESIS AND ACUTE [MUFI] ; E62C
LATIN SMALL LETTER U WITH DIAERESIS AND CIRCUMFLEX [MUFI] ; E717
LATIN SMALL LETTER U WITH VERTICAL LINE ABOVE [MUFI] ; E724
LATIN SMALL LETTER V WITH BAR [MUFI] ; E74E
LATIN SMALL LETTER Y WITH BAR [MUFI] ; E77B
LATIN SMALL LETTER Y WITH DOT ABOVE AND ACUTE [MUFI] ; E784
LATIN SMALL LETTER N WITH BAR [MUFI] ; E7B2
LATIN CAPITAL LETTER O WITH CURL AND ACUTE [MUFI] ; EBB7
LATIN SMALL LETTER O WITH CURL AND ACUTE [MUFI] ; EBB8
LATIN SMALL LETTER O WITH OGONEK AND DOUBLE ACUTE [MUFI] ; EBC5
LATIN CAPITAL LETTER E WITH OGONEK AND CURL [MUFI] ; EBF2
LATIN ENLARGED LETTER SMALL THORN [MUFI] ; EEF6
LATIN ENLARGED LETTER SMALL Y [MUFI] ; EEFB
LATIN ENLARGED LETTER SMALL Z [MUFI] ; EEFC
MIDDLE RING [MUFI] ;F1DA
LATIN SMALL LIGATURE AA CLOSED FORM [MUFI] ; EFA0
LATIN SMALL LETTER AE WITH RIGHT UPPER LOOP [MUFI] ;F204
LATIN CAPITAL LIGATURE NECKLESS A E [MUFI] ; EFAE
LATIN SMALL LIGATURE NECKLESS A E [MUFI] ; EFA1
LATIN ENLARGED LETTER SMALL A [MUFI] ; EEE0
LATIN ENLARGED LETTER SMALL A WITH ACUTE [MUFI] ; EAF0
LATIN ENLARGED LETTER SMALL LIGATURE AA [MUFI] ; EFDF
LATIN ENLARGED LETTER SMALL LIGATURE AE [MUFI] ; EAF1
LATIN ENLARGED LETTER SMALL LIGATURE AO [MUFI] ; EFDE
LATIN LIGATURE ENLARGED LETTER SMALL A AND LATIN SMALL LETTER O [MUFI] ; EAF2
LATIN ENLARGED LETTER SMALL B [MUFI] ; EEE1
LATIN ENLARGED LETTER SMALL C [MUFI] ; EEE2
LATIN ENLARGED LETTER SMALL D [MUFI] ; EEE3
LATIN ENLARGED LETTER D ROTUNDA [MUFI] ; EEE4
LATIN ENLARGED LETTER SMALL ETH [MUFI] ; EEE5
LATIN ENLARGED LETTER SMALL E [MUFI] ; EEE6
LATIN ENLARGED LETTER SMALL E WITH OGONEK [MUFI] ; EAF3
LATIN ENLARGED LETTER SMALL F [MUFI] ; EEE7
LATIN ENLARGED LETTER SMALL INSULAR F [MUFI] ; EEFF
LATIN ENLARGED LETTER SMALL G [MUFI] ; EEE8
LATIN ENLARGED LETTER SMALL H [MUFI] ; EEE9
LATIN ENLARGED LETTER SMALL I [MUFI] ; EEEA
LATIN ENLARGED LETTER SMALL DOTLESS I [MUFI] ; EEFD
LATIN ENLARGED LETTER SMALL J [MUFI] ; EEEB
LATIN ENLARGED LETTER SMALL DOTLESS J [MUFI] ; EEFE
LATIN ENLARGED LETTER SMALL K [MUFI] ; EEEC
LATIN ENLARGED LETTER SMALL L [MUFI] ; EEED
LATIN ENLARGED LETTER SMALL M [MUFI] ; EEEE
LATIN ENLARGED LETTER SMALL N [MUFI] ; EEEF
LATIN ENLARGED LETTER SMALL O [MUFI] ; EEF0
LATIN ENLARGED LETTER SMALL LIGATURE OE [MUFI] ; EFDD
LATIN ENLARGED LETTER SMALL P [MUFI] ; EEF1
LATIN ENLARGED LETTER SMALL Q [MUFI] ; EEF2
LATIN ENLARGED LETTER SMALL R [MUFI] ; EEF3
LATIN ENLARGED LETTER SMALL S [MUFI] ; EEF4
LATIN ENLARGED LETTER SMALL LONG S [MUFI] ; EEDF
LATIN ENLARGED LETTER SMALL T [MUFI] ; EEF5
LATIN ENLARGED LETTER SMALL U [MUFI] ; EEF7
LATIN ENLARGED LETTER SMALL V [MUFI] ; EEF8
LATIN ENLARGED LETTER SMALL W [MUFI] ; EEF9
LATIN ENLARGED LETTER SMALL X [MUFI] ; EEFA
LATIN ABBREVIATION SIGN SPACING BASE-LINE SMALL US [MUFI] ;F1A6
LATIN ABBREVIATION SIGN CAPITAL ET [MUFI] ;F142
LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE [MUFI] ;F1A7
LATIN ABBREVIATION SIGN SMALL ET WITH STROKE [MUFI] ;F158
LATIN ABBREVIATION SIGN SMALL DE [MUFI] ;F159
LATIN ABBREVIATION SIGN AUTEM [MUFI] ; E8A3
LATIN ABBREVIATION SIGN SEMICOLON [MUFI] ;F1AC
LATIN SMALL LIGATURE H AND LONG S [MUFI] ; EBAD
LATIN SMALL LIGATURE H AND LONG S WITH STROKE [MUFI] ; E7C7
LATIN SMALL LETTER I WITH TWO STROKES [MUFI] ; E8A1
LATIN SMALL LETTER J WITH TWO STROKES [MUFI] ; E8A2
LATIN SMALL LIGATURE K AND LONG S [MUFI] ; EBAE
LATIN SMALL LIGATURE K AND LONG S WITH STROKE [MUFI] ; E7C8
LATIN SMALL LETTER Q LIGATED WITH R ROTUNDA [MUFI] ; E8B3
LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI] ; E8BF
LATIN SMALL LETTER Q WITH CENTRAL SLANTED STROKE [MUFI] ; E8B4
LATIN SMALL LETTER R WITH LONG LEG AND STROKE THROUGH DESCENDER [MUFI] ; E7E4
LATIN SMALL LETTER LONG S WITH FLOURISH [MUFI] ; E8B7
LATIN SMALL LETTER LONG S WITH SLANTED DESCENDING STROKE [MUFI] ; E8B8
LATIN SMALL LETTER V WITH SHORT SLASH [MUFI] ; E8BA
LATIN SMALL LETTER V WITH SHORT SLASH ABOVE RIGHT [MUFI] ; E8BB
LATIN SMALL LETTER V WITH TWO SHORT SLASHES ABOVE RIGHT [MUFI] ; E8BC
LATIN SMALL LETTER X WITH SHORT SLASH ABOVE LEFT [MUFI] ; E8BD
LATIN SMALL LETTER X WITH SHORT SLASH BELOW RIGHT [MUFI] ; E8BE
LATIN SMALL LETTER X WITH TWO SHORT SLASHES BELOW RIGHT [MUFI] ; E8CE
LATIN CAPITAL LETTER THORN WITH DIAGONAL STROKE [MUFI] ; E337
LATIN SMALL LETTER THORN WITH DIAGONAL STROKE [MUFI] ;F149
LATIN SMALL LIGATURE THORN AND LONG S [MUFI] ; E734
LATIN SMALL LIGATURE THORN AND LONG S WITH STROKE [MUFI] ; E735
COMBINING ABBREVIATION MARK BAR ABOVE WITH DOT [MUFI] ;F1C0
COMBINING ABBREVIATION MARK ZIGZAG ABOVE ANGLE FORM [MUFI] ;F1C7
COMBINING ABBREVIATION MARK ZIGZAG ABOVE CURLY FORM [MUFI] ;F1C8
COMBINING ABBREVIATION MARK SUPERSCRIPT RA OPEN A FORM WITH BAR ABOVE [MUFI] ;F1C1
COMBINING ABBREVIATION MARK SUPERSCRIPT UR ROUND R FORM [MUFI] ;F153
COMBINING ABBREVIATION MARK SUPERSCRIPT UR LEMNISKATE FORM [MUFI] ;F1C2
COMBINING CURL HIGH POSITION [MUFI] ;F1C5
COMBINING DOT ABOVE HIGH POSITION [MUFI] ;F1CA
COMBINING CURLY BAR ABOVE [MUFI] ;F1CC
COMBINING TRIPLE BREVE BELOW [MUFI] ;F1FC
LATIN CAPITAL LIGATURE AO NECKLESS [MUFI] ;F205
LATIN SMALL LIGATURE AO NECKLESS [MUFI] ;F206
LATIN SMALL LIGATURE NECKLESS AV [MUFI] ; EFA2
COMBINING LATIN SMALL LIGATURE AN [MUFI] ;F036
COMBINING LATIN SMALL LIGATURE A SMALL CAPITAL N [MUFI] ;F03A
COMBINING LATIN SMALL LIGATURE AR [MUFI] ;F038
COMBINING LATIN SMALL LIGATURE A SMALL CAPITAL R [MUFI] ;F130
COMBINING LATIN SMALL LETTER B [MUFI] ;F012
COMBINING LATIN LETTER SMALL CAPITAL B [MUFI] ;F013
COMBINING LATIN LETTER SMALL CAPITAL D [MUFI] ;F016
COMBINING LATIN SMALL LETTER E WITH OGONEK [MUFI] ;F135
COMBINING LATIN SMALL LETTER E WITH MACRON [MUFI] ;F136
COMBINING LATIN SMALL LETTER F [MUFI] ;F017
COMBINING LATIN SMALL LETTER DOTLESS I [MUFI] ;F02F
COMBINING LATIN SMALL LETTER J [MUFI] ;F030
COMBINING LATIN SMALL LETTER DOTLESS J [MUFI] ;F031
COMBINING LATIN LETTER SMALL CAPITAL K [MUFI] ;F01C
COMBINING LATIN SMALL LETTER O WITH OGONEK [MUFI] ;F13E
COMBINING LATIN SMALL LETTER O WITH STROKE [MUFI] ;F032
COMBINING LATIN SMALL LETTER O WITH MACRON [MUFI] ;F13F
COMBINING LATIN SMALL LETTER O R ROTUNDA [MUFI] ;F03E
COMBINING LATIN SMALL LETTER O RUM [MUFI] ;F03F
COMBINING LATIN SMALL LETTER P [MUFI] ;F025
COMBINING LATIN SMALL LETTER Q [MUFI] ;F033
COMBINING LATIN SMALL LETTER RUM [MUFI] ;F040
COMBINING LATIN LETTER SMALL CAPITAL T [MUFI] ;F02A
COMBINING LATIN LETTER T ROTUNDA [MUFI] ;F03B
COMBINING LATIN SMALL LETTER W [MUFI] ;F03C
COMBINING LATIN SMALL LETTER Y [MUFI] ;F02B
COMBINING LATIN SMALL LETTER THORN [MUFI] ;F03D
DISTINCTIO [MUFI] ;F1F8
COMMA POSITURA [MUFI] ;F1E2
HIGH COMMA POSITURA (SIMPLEX DUCTUS) [MUFI] ;F1E3
PUNCTUS VERSUS [MUFI] ;F1EA
PUNCTUS WITH COMMA POSITURA [MUFI] ;F1E4
COLON WITH MIDDLE COMMA POSITURA [MUFI] ;F1E5
TWO DOTS OVER COMMA POSITURA [MUFI] ;F1F2
THREE DOTS WITH COMMA POSITURA [MUFI] ;F1E6
PUNCTUS ELEVATUS [MUFI] ;F161
PUNCTUS ELEVATUS DIAGONAL STROKE [MUFI] ;F1F0
PUNCTUS ELEVATUS WITH HIGH BACK [MUFI] ;F1FA
PUNCTUS ELEVATUS WITH HACKLE [MUFI] ;F1FB
PUNCTUS FLEXUS [MUFI] ;F1F5
PUNCTUS EXCLAMATIVUS [MUFI] ;F1E7
PUNCTUS INTERROGATIVUS [MUFI] ;F160
